date,admissions,discharges,hosp,rea,hosp_rel,icu_rate
2021-03-16,341148,275360,25492,4239,0.7617283212813004,0.6055714285714285
2021-03-17,342821,276993,25314,4219,0.756409490228889,0.6027142857142858
2021-03-18,344612,278263,25389,4246,0.7586505707285006,0.6065714285714285
2021-03-19,346155,279646,25339,4287,0.7571565170620929,0.6124285714285714
2021-03-20,347504,280571,25537,4353,0.7630729695810674,0.6218571428571429
2021-03-21,348217,280955,25926,4406,0.7746967071057193,0.6294285714285714
2021-03-22,349663,281885,26488,4548,0.7914898703161417,0.6497142857142857
2021-03-23,351278,283507,26756,4634,0.799497997968087,0.662
2021-03-24,353067,285199,26876,4651,0.8030837267674655,0.6644285714285715
2021-03-25,354740,286607,27036,4709,0.8078646984999701,0.6727142857142857
2021-03-26,356544,288062,27242,4766,0.8140201996055698,0.6808571428571428
2021-03-27,357833,289350,27259,4791,0.8145281778521485,0.6844285714285714
2021-03-28,358802,289752,27712,4872,0.8280643040698021,0.696
2021-03-29,360377,290810,28322,4974,0.8462917587999761,0.7105714285714285
2021-03-30,362277,292796,28510,5072,0.851909400585669,0.7245714285714285
2021-03-31,364187,294638,28463,5053,0.8505049901392459,0.7218571428571429
2021-04-01,366188,296166,28581,5109,0.8540309567919679,0.7298571428571429
2021-04-02,368086,297734,28729,5254,0.8584533556445347,0.7505714285714286
2021-04-03,369621,299075,28886,5273,0.8631446841570549,0.7532857142857143
2021-04-04,370668,299624,29356,5341,0.8771887886212872,0.763
2021-04-05,371386,300064,29907,5433,0.8936532600251001,0.7761428571428571
